Subject,Site,Sex,Species,Age,Date,Day,Session,trial_number,Condition,P1_baited,P2_baited,Choice_P1,Correct_P1,Choice_P2,Correct_P2,count_mistakes,Comment
Safari,kenya,m,old chimps,34,43422,6,1,1,warm-up,2,,2,1,,,,
Safari,kenya,m,old chimps,34,43422,6,1,2,warm-up,4,,3,0,,,,
Safari,kenya,m,old chimps,34,43422,6,1,1,test,3,2,3,1,4,0,1,
Safari,kenya,m,old chimps,34,43422,6,1,2,test,4,3,4,1,4,0,1,
Safari,kenya,m,old chimps,34,43422,6,1,3,test,1,4,4,0,4,1,1,
Safari,kenya,m,old chimps,34,43422,6,1,4,test,2,1,3,0,2,0,2,
Safari,kenya,m,old chimps,34,43422,6,1,5,test,4,2,3,0,2,1,1,
Safari,kenya,m,old chimps,34,43422,6,1,6,test,1,1,4,0,1,1,1,
Safari,kenya,m,old chimps,34,43422,6,1,7,test,3,4,3,1,2,0,1,
Safari,kenya,m,old chimps,34,43422,6,1,8,test,2,3,4,0,3,1,1,
Alley,kenya,f,old chimps,31,43422,6,1,1,warm-up,2,,1,0,,,,
Alley,kenya,f,old chimps,31,43422,6,1,2,warm-up,4,,2,0,,,,
Alley,kenya,f,old chimps,31,43422,6,1,1,test,3,2,2,0,1,0,2,
Alley,kenya,f,old chimps,31,43422,6,1,2,test,4,3,2,0,1,0,2,
Alley,kenya,f,old chimps,31,43422,6,1,3,test,1,4,1,1,1,0,1,
Alley,kenya,f,old chimps,31,43422,6,1,4,test,2,2,1,0,2,1,1,
Alley,kenya,f,old chimps,31,43422,6,1,5,test,4,2,2,0,1,0,2,
Alley,kenya,f,old chimps,31,43422,6,1,6,test,1,1,2,0,1,1,1,
Alley,kenya,f,old chimps,31,43422,6,1,7,test,3,4,3,1,1,0,1,
Alley,kenya,f,old chimps,31,43422,6,1,8,test,2,3,4,0,1,0,2,
Judy,kenya,f,old chimps,35,43422,6,1,1,warm-up,2,,2,1,,,,box 3 without toilet paper
Judy,kenya,f,old chimps,35,43422,6,1,2,warm-up,4,,4,1,,,,box 3 without toilet paper
Judy,kenya,f,old chimps,35,43422,6,1,1,test,3,2,3,1,3,0,1,
Judy,kenya,f,old chimps,35,43422,6,1,2,test,4,3,4,1,3,1,0,
Judy,kenya,f,old chimps,35,43422,6,1,3,test,1,4,3,0,3,0,2,
Judy,kenya,f,old chimps,35,43422,6,1,4,test,2,1,4,0,3,0,2,
Judy,kenya,f,old chimps,35,43422,6,1,5,test,4,2,3,0,2,1,1,
Judy,kenya,f,old chimps,35,43422,6,1,6,test,1,1,2,0,4,0,2,
Judy,kenya,f,old chimps,35,43422,6,1,7,test,3,4,4,0,3,0,2,
Judy,kenya,f,old chimps,35,43422,6,1,8,test,2,3,3,0,3,1,1,
Manno,kenya,m,young chimps,5,43387,,1,1,warm-up,2,,1,0,,,,
Manno,kenya,m,young chimps,5,43387,,1,2,warm-up,4,,3,0,,,,
Manno,kenya,m,young chimps,5,43387,,1,1,test,3,2,1,0,4,0,2,
Manno,kenya,m,young chimps,5,43387,,1,2,test,4,3,3,0,4,0,2,
Manno,kenya,m,young chimps,5,43387,,1,3,test,1,4,1,1,4,1,0,could see reward on first platform
Manno,kenya,m,young chimps,5,43387,,1,4,test,2,1,1,0,2,0,2,
Manno,kenya,m,young chimps,5,43387,,1,5,test,4,2,2,0,3,0,2,
Manno,kenya,m,young chimps,5,43387,,1,6,test,1,1,1,1,1,1,0,
Manno,kenya,m,young chimps,5,43387,,1,7,test,3,4,1,0,1,0,2,
Manno,kenya,m,young chimps,5,43387,,1,8,test,2,3,2,1,3,1,0,
Mwanzo,kenya,f,old chimps,22,43391,,1,1,warm-up,2,,3,0,,,,
Mwanzo,kenya,f,old chimps,22,43391,,1,2,warm-up,4,,4,1,,,,
Mwanzo,kenya,f,old chimps,22,43391,,1,1,test,3,2,4,0,3,0,2,
Mwanzo,kenya,f,old chimps,22,43391,,1,2,test,4,3,4,1,2,0,1,
Mwanzo,kenya,f,old chimps,22,43391,,1,3,test,1,4,4,0,2,0,2,
Mwanzo,kenya,f,old chimps,22,43391,,1,4,test,2,1,4,0,1,1,1,
Mwanzo,kenya,f,old chimps,22,43391,,1,5,test,4,2,4,1,2,1,0,
Mwanzo,kenya,f,old chimps,22,43391,,1,6,test,1,1,3,0,1,1,1,
Mwanzo,kenya,f,old chimps,22,43391,,1,7,test,3,4,2,0,2,0,2,
Mwanzo,kenya,f,old chimps,22,43391,,1,8,test,2,3,4,0,2,0,2,
Zee,kenya,m,old chimps,18,43387,,1,1,warm-up,2,,2,1,,,,
Zee,kenya,m,old chimps,18,43387,,1,2,warm-up,4,,4,1,,,,
Zee,kenya,m,old chimps,18,43387,,1,1,test,3,2,4,0,4,0,2,
Zee,kenya,m,old chimps,18,43387,,1,2,test,4,3,4,1,4,0,1,
Zee,kenya,m,old chimps,18,43387,,1,3,test,1,4,4,0,4,1,1,
Zee,kenya,m,old chimps,18,43387,,1,4,test,2,1,4,0,1,1,1,
Zee,kenya,m,old chimps,18,43387,,1,5,test,4,2,4,1,3,0,1,
Zee,kenya,m,old chimps,18,43387,,1,6,test,1,1,4,0,1,1,1,
Zee,kenya,m,old chimps,18,43387,,1,7,test,3,4,4,0,1,0,2,
Zee,kenya,m,old chimps,18,43387,,1,8,test,2,3,3,0,3,1,1,
Kisa,kenya,m,young chimps,25,43416,,1,1,warm-up,2,,4,0,,,,
Kisa,kenya,m,young chimps,25,43416,,1,2,warm-up,4,,4,1,,,,
Kisa,kenya,m,young chimps,25,43416,,1,1,test,3,2,3,1,4,0,1,
Kisa,kenya,m,young chimps,25,43416,,1,2,test,4,3,3,0,2,0,2,
Kisa,kenya,m,young chimps,25,43416,,1,3,test,1,4,1,1,3,0,1,
Kisa,kenya,m,young chimps,25,43416,,1,4,test,2,1,2,1,2,0,1,
Kisa,kenya,m,young chimps,25,43416,,1,5,test,4,2,2,0,2,1,1,
Kisa,kenya,m,young chimps,25,43416,,1,6,test,1,1,3,0,3,0,2,
Kisa,kenya,m,young chimps,25,43416,,1,7,test,3,4,3,1,3,0,1,
Kisa,kenya,m,young chimps,25,43416,,1,8,test,2,3,2,1,1,0,1,
Asega,uganda,m,Uganda,21,43756,6,1,1,warm-up,2,,4,0,,,,
Asega,uganda,m,Uganda,21,43756,6,1,2,warm-up,4,,4,1,,,,
Asega,uganda,m,Uganda,21,43756,6,1,1,test,3,2,1,0,3,0,2,
Asega,uganda,m,Uganda,21,43756,6,1,2,test,4,3,4,1,3,1,0,
Asega,uganda,m,Uganda,21,43756,6,1,3,test,1,4,1,1,1,0,1,
Asega,uganda,m,Uganda,21,43756,6,1,4,test,2,1,1,0,1,1,1,
Asega,uganda,m,Uganda,21,43756,6,1,5,test,4,2,1,0,1,0,2,
Asega,uganda,m,Uganda,21,43756,6,1,6,test,1,1,1,1,3,0,1,
Asega,uganda,m,Uganda,21,43756,6,1,7,test,3,4,1,0,1,0,2,
Asega,uganda,m,Uganda,21,43756,6,1,8,test,2,3,1,0,1,0,2,
Indi,uganda,m,Uganda,19,43757,6,1,1,warm-up,2,,2,1,,,,
Indi,uganda,m,Uganda,19,43757,6,1,2,warm-up,4,,4,1,,,,
Indi,uganda,m,Uganda,19,43757,6,1,1,test,3,2,3,1,4,0,1,
Indi,uganda,m,Uganda,19,43757,6,1,2,test,4,3,4,1,4,0,1,
Indi,uganda,m,Uganda,19,43757,6,1,3,test,1,4,1,1,4,1,0,
Indi,uganda,m,Uganda,19,43757,6,1,4,test,2,1,4,0,1,1,1,
Indi,uganda,m,Uganda,19,43757,6,1,5,test,4,2,4,1,3,0,1,
Indi,uganda,m,Uganda,19,43757,6,1,6,test,1,1,4,0,4,0,2,
Indi,uganda,m,Uganda,19,43757,6,1,7,test,3,4,3,1,4,1,0,
Indi,uganda,m,Uganda,19,43757,6,1,8,test,2,3,1,0,4,0,2,
Becky,uganda,f,Uganda,28,43778,6,1,1,warm-up,2,,2,1,,,,
Becky,uganda,f,Uganda,28,43778,6,1,2,warm-up,4,,4,1,,,,
Becky,uganda,f,Uganda,28,43778,6,1,1,test,3,2,3,1,4,0,1,
Becky,uganda,f,Uganda,28,43778,6,1,2,test,4,3,1,0,3,1,1,
Becky,uganda,f,Uganda,28,43778,6,1,3,test,1,4,2,0,4,1,1,
Becky,uganda,f,Uganda,28,43778,6,1,4,test,2,1,3,0,4,0,2,
Becky,uganda,f,Uganda,28,43778,6,1,5,test,4,2,4,1,4,0,1,
Becky,uganda,f,Uganda,28,43778,6,1,6,test,1,1,2,0,4,0,2,
Becky,uganda,f,Uganda,28,43778,6,1,7,test,3,4,2,0,4,1,1,
Becky,uganda,f,Uganda,28,43778,6,1,8,test,2,3,2,1,4,0,1,
Cocoa,uganda,f,Uganda,12,43779,6,1,1,warm-up,2,,2,1,,,,
Cocoa,uganda,f,Uganda,12,43779,6,1,2,warm-up,4,,4,1,,,,
Cocoa,uganda,f,Uganda,12,43779,6,1,1,test,3,2,4,0,4,0,2,
Cocoa,uganda,f,Uganda,12,43779,6,1,2,test,4,3,4,1,4,0,1,
Cocoa,uganda,f,Uganda,12,43779,6,1,3,test,1,4,4,0,4,1,1,
Cocoa,uganda,f,Uganda,12,43779,6,1,4,test,2,1,3,0,4,0,2,
Cocoa,uganda,f,Uganda,12,43779,6,1,5,test,4,2,3,0,2,1,1,
Cocoa,uganda,f,Uganda,12,43779,6,1,6,test,1,1,1,1,2,0,1,
Cocoa,uganda,f,Uganda,12,43779,6,1,7,test,3,4,4,0,4,1,1,
Cocoa,uganda,f,Uganda,12,43779,6,1,8,test,2,3,4,0,3,1,1,
Umugenzi,uganda,m,Uganda,22,43801,6,1,1,warm-up,2,,2,1,,,,
Umugenzi,uganda,m,Uganda,22,43801,6,1,2,warm-up,4,,4,1,,,,
Umugenzi,uganda,m,Uganda,22,43801,6,1,1,test,3,2,2,0,1,0,2,
Umugenzi,uganda,m,Uganda,22,43801,6,1,2,test,4,3,3,0,2,0,2,
Umugenzi,uganda,m,Uganda,22,43801,6,1,3,test,1,4,1,1,4,1,0,
Umugenzi,uganda,m,Uganda,22,43801,6,1,4,test,2,1,1,0,1,1,1,
Umugenzi,uganda,m,Uganda,22,43801,6,1,5,test,4,2,4,1,2,1,0,
Umugenzi,uganda,m,Uganda,22,43801,6,1,6,test,1,1,1,1,1,1,0,
Umugenzi,uganda,m,Uganda,22,43801,6,1,7,test,3,4,2,0,1,0,2,
Umugenzi,uganda,m,Uganda,22,43801,6,1,8,test,2,3,2,1,2,0,1,
William,kenya,m,young chimps,18,13/10/2018,,1,1,warm-up,2,,4,0,,,,
William,kenya,m,young chimps,18,13/10/2018,,1,2,warm-up,4,,4,1,,,,
William,kenya,m,young chimps,18,13/10/2018,,1,1,test,3,2,1,0,1,0,2,
William,kenya,m,young chimps,18,13/10/2018,,1,2,test,4,3,2,0,3,1,1,
William,kenya,m,young chimps,18,13/10/2018,,1,3,test,1,4,1,1,1,0,1,
William,kenya,m,young chimps,18,13/10/2018,,1,4,test,2,1,4,0,4,0,2,
William,kenya,m,young chimps,18,13/10/2018,,1,5,test,4,2,4,1,1,0,1,
William,kenya,m,young chimps,18,13/10/2018,,1,6,test,1,1,4,0,1,1,1,
William,kenya,m,young chimps,18,13/10/2018,,1,7,test,3,4,3,1,4,1,0,
William,kenya,m,young chimps,18,13/10/2018,,1,8,test,2,3,3,0,4,0,2,
