Subject,Site,Sex,Group,Age,Date,Day,Session,Condition,trial_number,Side,Distractor_left,Distractor_right,Platform,chosen_level,chose_side,correct,Comment
Tess,kenya,f,young chimps,26,43400,18,3,Test,1,l,D1,D2,1,lower,r,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,2,r,D2,D1,1,lower,r,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,3,r,D1,D2,1,lower,r,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,4,l,D2,D1,1,lower,l,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,5,l,D1,D2,2,lower,r,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,6,r,D2,D1,2,lower,l,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,7,r,D1,D2,2,lower,r,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,8,l,D1,D2,2,lower,r,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,9,l,D2,D1,2,upper,l,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,10,r,D1,D2,2,upper,r,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,11,r,D2,D1,2,upper,r,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,12,r,D1,D2,1,upper,r,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,13,l,D1,D2,1,upper,l,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,14,l,D2,D1,1,upper,r,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,15,r,D2,D1,1,upper,r,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,16,l,D1,D2,1,upper,l,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,17,r,D1,D2,1,lower,r,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,18,l,D2,D1,1,lower,l,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,19,r,D2,D1,1,lower,r,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,20,l,D1,D2,2,lower,r,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,21,l,D2,D1,2,upper,l,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,22,r,D1,D2,2,upper,r,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,23,r,D2,D1,2,upper,r,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,24,l,D1,D2,1,upper,l,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,25,l,D1,D2,1,upper,l,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,26,r,D2,D1,1,upper,r,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,27,r,D1,D2,1,upper,l,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,28,l,D2,D1,1,upper,r,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,29,r,D1,D2,1,upper,l,0,
Tess,kenya,f,young chimps,26,43400,18,3,Test,30,l,D2,D1,1,lower,l,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,31,r,D2,D1,1,lower,r,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,32,l,D1,D2,1,lower,l,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,33,l,D2,D1,2,upper,l,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,34,r,D1,D2,2,upper,r,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,35,r,D2,D1,2,upper,r,1,
Tess,kenya,f,young chimps,26,43400,18,3,Test,36,l,D1,D2,1,upper,l,0,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,1,l,D1,D2,1,upper,r,0,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,2,r,D2,D1,1,upper,r,0,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,3,r,D1,D2,1,lower,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,4,l,D2,D1,1,lower,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,5,r,D1,D2,1,lower,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,6,l,D2,D1,2,upper,r,0,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,7,r,D2,D1,2,upper,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,8,l,D1,D2,2,lower,r,0,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,9,l,D2,D1,2,lower,r,0,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,10,r,D1,D2,2,lower,r,0,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,11,r,D2,D1,2,upper,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,12,l,D1,D2,2,upper,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,13,r,D1,D2,2,upper,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,14,l,D2,D1,1,lower,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,15,r,D2,D1,1,lower,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,16,l,D1,D2,1,lower,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,17,r,D1,D2,2,upper,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,18,l,D2,D1,2,upper,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,19,r,D2,D1,2,upper,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,20,l,D1,D2,1,lower,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,21,l,D2,D1,1,lower,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,22,r,D1,D2,1,lower,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,23,r,D2,D1,2,upper,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,24,l,D1,D2,2,upper,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,25,l,D1,D2,2,upper,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,26,r,D2,D1,1,lower,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,27,r,D1,D2,1,lower,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,28,l,D2,D1,1,lower,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,29,r,D1,D2,2,upper,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,30,l,D2,D1,2,upper,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,31,r,D2,D1,2,upper,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,32,l,D1,D2,1,lower,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,33,l,D2,D1,1,lower,l,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,34,r,D1,D2,1,lower,l,0,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,35,r,D2,D1,1,lower,r,1,
Chipie,kenya,f,young chimps,27,43400,18,3,Test,36,l,D1,D2,1,lower,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,1,l,D1,D2,2,upper,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,2,r,D2,D1,2,upper,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,3,r,D1,D2,2,upper,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,4,l,D2,D1,1,upper,r,0,
Alley,kenya,f,old chimps,31,43439,18,3,Test,5,r,D1,D2,1,upper,l,0,
Alley,kenya,f,old chimps,31,43439,18,3,Test,6,l,D2,D1,1,lower,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,7,r,D2,D1,1,lower,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,8,l,D1,D2,1,lower,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,9,l,D2,D1,2,lower,r,0,
Alley,kenya,f,old chimps,31,43439,18,3,Test,10,r,D1,D2,2,lower,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,11,r,D2,D1,2,upper,l,0,
Alley,kenya,f,old chimps,31,43439,18,3,Test,12,l,D1,D2,2,upper,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,13,r,D1,D2,2,upper,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,14,l,D2,D1,2,upper,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,15,r,D2,D1,1,lower,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,16,l,D1,D2,1,lower,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,17,r,D1,D2,1,upper,l,0,
Alley,kenya,f,old chimps,31,43439,18,3,Test,18,l,D2,D1,1,lower,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,19,r,D2,D1,1,lower,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,20,l,D1,D2,1,lower,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,21,l,D2,D1,2,lower,l,0,
Alley,kenya,f,old chimps,31,43439,18,3,Test,22,r,D1,D2,2,upper,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,23,r,D2,D1,2,upper,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,24,l,D1,D2,2,upper,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,25,l,D1,D2,1,lower,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,26,r,D2,D1,1,lower,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,27,r,D1,D2,1,lower,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,28,l,D2,D1,2,upper,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,29,r,D1,D2,2,upper,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,30,l,D2,D1,2,upper,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,31,r,D2,D1,1,lower,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,32,l,D1,D2,1,lower,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,33,l,D2,D1,1,lower,l,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,34,r,D1,D2,2,upper,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,35,r,D2,D1,2,upper,r,1,
Alley,kenya,f,old chimps,31,43439,18,3,Test,36,l,D1,D2,2,upper,l,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,1,l,D1,D2,2,lower,r,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,2,r,D2,D1,2,lower,l,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,3,r,D1,D2,2,lower,r,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,4,l,D2,D1,2,lower,l,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,5,r,D1,D2,2,lower,r,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,6,l,D2,D1,2,lower,l,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,7,r,D2,D1,2,lower,l,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,8,l,D1,D2,2,lower,r,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,9,l,D2,D1,2,lower,l,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,10,r,D1,D2,2,upper,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,11,r,D2,D1,2,upper,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,12,l,D1,D2,2,upper,r,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,13,r,D1,D2,2,upper,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,14,l,D2,D1,2,upper,l,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,15,r,D2,D1,2,upper,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,16,l,D1,D2,1,lower,l,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,17,r,D1,D2,1,lower,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,18,l,D2,D1,1,lower,l,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,19,r,D2,D1,2,lower,l,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,20,l,D1,D2,2,upper,r,0,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,21,l,D2,D1,2,upper,l,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,22,r,D1,D2,2,upper,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,23,r,D2,D1,2,upper,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,24,l,D1,D2,1,lower,l,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,25,l,D1,D2,1,lower,l,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,26,r,D2,D1,1,lower,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,27,r,D1,D2,2,upper,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,28,l,D2,D1,2,upper,l,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,29,r,D1,D2,2,upper,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,30,l,D2,D1,1,lower,l,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,31,r,D2,D1,1,lower,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,32,l,D1,D2,1,lower,l,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,33,l,D2,D1,2,upper,l,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,34,r,D1,D2,2,upper,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,35,r,D2,D1,2,upper,r,1,
Cheetah,kenya,f,old chimps,31,43405,,3,Test,36,l,D1,D2,1,lower,l,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,1,l,D1,D2,1,lower,l,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,2,r,D2,D1,1,lower,l,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,3,l,D1,D2,1,lower,r,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,4,l,D2,D1,1,upper,r,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,5,r,D1,D2,1,lower,r,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,6,l,D2,D1,1,lower,l,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,7,r,D2,D1,1,lower,r,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,8,l,D1,D2,2,lower,r,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,9,l,D2,D1,2,lower,r,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,10,r,D1,D2,2,lower,r,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,11,r,D2,D1,2,lower,l,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,12,l,D1,D2,2,lower,l,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,13,r,D1,D2,2,lower,r,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,14,l,D2,D1,2,lower,l,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,15,r,D2,D1,2,upper,r,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,16,l,D1,D2,2,upper,r,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,17,r,D1,D2,2,lower,r,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,18,l,D2,D1,2,upper,l,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,19,r,D2,D1,2,upper,r,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,20,l,D1,D2,2,upper,l,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,21,l,D2,D1,1,upper,r,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,22,r,D1,D2,1,lower,r,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,23,r,D2,D1,1,lower,r,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,24,l,D1,D2,1,lower,l,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,25,l,D1,D2,2,lower,r,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,26,r,D2,D1,2,lower,l,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,27,r,D1,D2,2,upper,r,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,28,l,D2,D1,2,upper,l,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,29,r,D1,D2,2,lower,r,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,30,l,D2,D1,2,upper,l,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,31,r,D2,D1,2,upper,l,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,32,l,D1,D2,2,upper,l,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,33,l,D2,D1,2,upper,l,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,34,r,D1,D2,2,upper,r,1,
Bahati,kenya,f,young chimps,25,43432,,3,Test,35,r,D2,D1,1,upper,r,0,
Bahati,kenya,f,young chimps,25,43432,,3,Test,36,l,D1,D2,1,upper,r,0,
Joy,kenya,f,young chimps,14,43432,,3,Test,1,l,D1,D2,1,upper,l,0,
Joy,kenya,f,young chimps,14,43432,,3,Test,2,r,D2,D1,1,lower,r,1,
Joy,kenya,f,young chimps,14,43432,,3,Test,3,l,D1,D2,1,lower,r,1,
Joy,kenya,f,young chimps,14,43432,,3,Test,4,l,D2,D1,1,lower,r,0,
Joy,kenya,f,young chimps,14,43432,,3,Test,5,r,D1,D2,1,lower,r,1,
Joy,kenya,f,young chimps,14,43432,,3,Test,6,l,D2,D1,1,lower,l,1,
Joy,kenya,f,young chimps,14,43432,,3,Test,7,r,D2,D1,1,lower,r,1,
Joy,kenya,f,young chimps,14,43432,,3,Test,8,l,D1,D2,2,lower,r,0,
Joy,kenya,f,young chimps,14,43432,,3,Test,9,l,D2,D1,2,upper,l,1,
Joy,kenya,f,young chimps,14,43432,,3,Test,10,r,D1,D2,2,upper,r,1,
