Subject,site,Sex,Group,Age,Date,Day,Session,trial_number,open_cylinder,comment,ForReliability
Roy,kenya,m,young chimps,11,08/10/2018,3,1,1,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,2,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,3,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,4,1,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,5,1,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,6,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,7,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,8,1,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,9,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,10,0,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,11,1,,1
Roy,kenya,m,young chimps,11,08/10/2018,3,1,12,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,1,0,good footage,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,2,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,3,0,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,4,1,cracked one of the transparent cylinders and ate the food,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,5,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,6,0,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,7,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,8,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,9,0,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,10,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,11,1,,1
Tess,kenya,f,young chimps,26,09/10/2018,3,1,12,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,1,0,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,2,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,3,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,4,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,5,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,6,0,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,7,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,8,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,9,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,10,0,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,11,1,,1
Chipie,kenya,f,young chimps,27,10/10/2018,3,1,12,1,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,1,0,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,2,0,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,3,0,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,4,1,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,5,0,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,6,0,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,7,0,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,8,0,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,9,1,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,10,1,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,11,1,,1
Niyonkuru,kenya,m,young chimps,28,08/11/2018,3,1,12,1,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,1,0,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,2,0,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,3,0,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,4,0,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,5,1,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,6,0,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,7,0,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,8,1,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,9,0,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,10,1,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,11,0,,1
Dufatanya,kenya,f,young chimps,27,08/11/2018,3,1,12,0,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,1,0,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,2,0,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,3,0,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,4,0,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,5,1,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,6,1,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,7,1,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,8,0,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,9,0,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,10,1,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,11,0,,1
Alley,kenya,f,old chimps,31,12/11/2018,3,1,12,1,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,1,0,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,2,1,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,3,0,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,4,0,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,5,1,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,6,1,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,7,0,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,8,1,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,9,0,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,10,0,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,11,1,,1
Safari,kenya,m,old chimps,34,13/11/2018,3,1,12,0,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,1,1,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,2,1,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,3,0,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,4,1,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,5,0,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,6,1,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,7,1,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,8,1,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,9,0,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,10,0,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,11,1,,1
Uruhara,kenya,m,young chimps,29,10/10/2018,4,2,12,1,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,1,0,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,2,1,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,3,1,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,4,1,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,5,1,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,6,1,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,7,1,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,8,1,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,9,1,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,10,1,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,11,1,,1
Chipie,kenya,f,young chimps,27,11/10/2018,4,2,12,1,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,1,1,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,2,0,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,3,0,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,4,0,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,5,1,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,6,1,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,7,1,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,8,1,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,9,1,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,10,1,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,11,1,,1
Amizero,kenya,f,young chimps,29,11/10/2018,4,2,12,0,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,1,1,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,2,0,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,3,1,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,4,0,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,5,1,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,6,0,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,7,1,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,8,1,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,9,0,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,10,1,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,11,0,,1
Alikaka,kenya,m,old chimps,16,16/10/2018,4,2,12,1,,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,1,1,,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,2,1,,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,3,1,,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,4,0,,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,5,0,did not touch more cylinders within 10 min,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,6,,,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,7,,,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,8,,,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,9,,,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,10,,,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,11,,,1
Cheetah,kenya,f,old chimps,31,16/10/2018,4,2,12,,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,1,0,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,2,0,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,3,0,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,4,0,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,5,0,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,6,1,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,7,1,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,8,1,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,9,0,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,10,0,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,11,1,,1
Zee,kenya,m,old chimps,18,16/10/2018,4,2,12,1,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,1,1,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,2,1,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,3,0,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,4,1,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,5,1,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,6,0,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,7,1,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,8,1,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,9,1,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,10,0,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,11,1,,1
Ajabu,kenya,f,old chimps,10,14/11/2018,4,2,12,0,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,1,0,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,2,1,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,3,1,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,4,1,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,5,0,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,6,1,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,7,1,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,8,0,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,9,1,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,10,1,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,11,1,,1
Saidia,kenya,f,old chimps,15,16/11/2018,4,2,12,0,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,1,1,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,2,0,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,3,1,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,4,1,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,5,0,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,6,1,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,7,0,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,8,0,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,9,1,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,10,1,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,11,1,,1
Akela,kenya,f,young chimps,30,10/11/2018,4,2,12,0,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,1,0,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,2,1,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,3,1,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,4,1,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,5,0,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,6,1,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,7,0,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,8,0,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,9,0,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,10,1,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,11,1,,1
Asega,uganda,m,Uganda,21,14/10/2019,3,1,12,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,1,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,2,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,3,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,4,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,5,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,6,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,7,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,8,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,9,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,10,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,11,1,,1
Asega,uganda,m,Uganda,21,15/10/2019,4,2,12,1,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,1,0,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,2,0,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,3,1,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,4,0,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,5,0,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,6,0,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,7,0,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,8,1,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,9,1,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,10,1,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,11,0,,1
Kisembo,uganda,m,Uganda,20,16/10/2019,3,1,12,1,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,1,0,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,2,0,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,3,1,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,4,1,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,5,1,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,6,0,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,7,1,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,8,1,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,9,1,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,10,0,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,11,1,,1
Becky,uganda,f,Uganda,28,07-Nov-19,3,1,12,1,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,1,0,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,2,1,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,3,1,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,4,1,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,5,1,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,6,1,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,7,0,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,8,1,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,9,1,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,10,0,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,11,1,,1
Bili,uganda,f,Uganda,21,01-Dec-19,,2,12,1,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,1,0,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,2,1,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,3,0,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,4,0,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,5,0,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,6,1,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,7,1,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,8,0,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,9,0,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,10,1,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,11,1,,1
Umugenzi,uganda,m,Uganda,22,29-Nov-19,,1,12,0,,1
