Subject,Site,Sex,Group,Age,Date,Day,Session,Condition,trial_number,Side,baited_distractor,chose_side,correct,Comment,side_changes,material_changes,chosen_distractor,SessionED,ForReliability
Ajabu,kenya,f,old chimps,10,24/11/2018,10,4,ID,1,l,B4,l,1,did not approach platform within 5 min after this trial,,,,,1
Ajabu,kenya,f,old chimps,10,25/11/2018,10,5,ID,2,l,B3,l,1,,no,yes,,,1
Ajabu,kenya,f,old chimps,10,25/11/2018,10,5,ID,3,r,B4,r,1,,yes,yes,,,1
Ajabu,kenya,f,old chimps,10,25/11/2018,10,5,ID,4,r,B3,r,1,,no,yes,,,1
Ajabu,kenya,f,old chimps,10,25/11/2018,10,5,ID,5,l,B4,l,1,,yes,yes,,,1
Ajabu,kenya,f,old chimps,10,25/11/2018,10,5,ID,6,r,B4,r,1,,yes,no,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,1,l,,l,1,,,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,2,r,,r,1,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,3,l,,r,0,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,4,r,,l,0,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,5,l,,r,0,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,6,r,,l,0,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,7,l,,l,1,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,8,r,,l,0,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,9,l,,r,0,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,10,r,,r,1,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,11,l,,r,0,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,12,r,,r,1,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,13,r,,r,1,,no,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,14,l,,r,0,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,15,l,,r,0,,no,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,16,r,,r,1,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,17,r,,l,0,,no,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,18,l,,r,0,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,19,r,,l,0,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,20,l,,l,1,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,21,r,,r,1,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,22,l,,r,0,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,23,r,,r,1,,yes,,,,1
Akela,kenya,f,young chimps,30,23-Nov-18,,8,EDSD,24,l,,r,0,,yes,,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,1,l,B2,r,0,,,,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,2,r,B1,l,0,,yes,yes,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,3,l,B1,l,1,,yes,no,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,4,r,B2,l,0,,yes,yes,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,5,l,B1,r,0,,yes,yes,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,6,l,B2,l,1,,no,yes,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,7,r,B2,l,0,,yes,no,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,8,r,B1,r,1,,no,yes,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,9,l,B1,l,1,,yes,no,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,10,r,B2,r,1,,yes,yes,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,11,l,B2,l,1,,yes,no,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,12,r,B1,r,1,,yes,yes,,,1
Alikaka,kenya,m,old chimps,20,22/10/2018,,2,CD,13,r,B1,r,1,,no,no,,,1
Amahirwe,kenya,m,old chimps,20,22/10/2018,,3,CD,1,l,B2,r,0,,,,,,1
Amahirwe,kenya,m,old chimps,20,22/10/2018,,3,CD,2,r,B1,l,0,,yes,yes,,,1
Amahirwe,kenya,m,old chimps,20,22/10/2018,,3,CD,3,l,B1,r,0,,yes,no,,,1
Amahirwe,kenya,m,old chimps,20,22/10/2018,,3,CD,4,r,B2,r,1,,yes,yes,,,1
Amahirwe,kenya,m,old chimps,20,22/10/2018,,3,CD,5,l,B1,l,1,,yes,yes,,,1
Amahirwe,kenya,m,old chimps,20,22/10/2018,,3,CD,6,l,B2,l,1,,no,yes,,,1
Amahirwe,kenya,m,old chimps,20,22/10/2018,,3,CD,7,r,B2,r,1,,yes,no,,,1
Amahirwe,kenya,m,old chimps,20,22/10/2018,,3,CD,8,r,B1,r,1,,no,yes,,,1
Amahirwe,kenya,m,old chimps,20,22/10/2018,,3,CD,9,l,B1,l,1,,yes,no,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,1,r,,l,0,,,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,2,l,,l,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,3,l,,l,1,,no,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,4,r,,l,0,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,5,l,,r,0,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,6,r,,r,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,7,l,,r,0,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,8,r,,r,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,9,l,,l,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,10,r,,r,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,11,r,,r,1,,no,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,12,l,,r,0,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,13,l,,l,1,,no,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,14,r,,r,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,15,r,,r,1,,no,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,16,l,,l,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,17,r,,r,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SD,18,l,,l,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,1,r,,l,0,,,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,2,l,,r,0,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,3,l,,r,0,,no,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,4,r,,l,0,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,5,r,,l,0,,no,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,6,l,,r,0,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,7,r,,l,0,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,8,l,,r,0,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,9,l,,r,0,,no,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,10,r,,r,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,11,l,,l,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,12,r,,r,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,13,l,,r,0,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,14,r,,r,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,15,l,,r,0,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,16,r,,r,1,,yes,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,17,r,,l,0,,no,,,,1
Angela,kenya,f,old chimps,7,21/11/2018,8,1,SR,18,l,,r,0,,yes,,,,1
Angela,kenya,f,old chimps,7,22/11/2018,8,2,SR,19,l,,r,0,,no,,,,1
Angela,kenya,f,old chimps,7,22/11/2018,8,2,SR,20,r,,r,1,,yes,,,,1
Angela,kenya,f,old chimps,7,22/11/2018,8,2,SR,21,r,,r,1,,no,,,,1
Angela,kenya,f,old chimps,7,22/11/2018,8,2,SR,22,l,,r,0,,yes,,,,1
Angela,kenya,f,old chimps,7,22/11/2018,8,2,SR,23,r,,r,1,,yes,,,,1
Angela,kenya,f,old chimps,7,22/11/2018,8,2,SR,24,l,,r,0,,yes,,,,1
Bahati,kenya,f,young chimps,25,18/11/2018,,3,ID,1,l, B4,r,0,,,,,,1
Bahati,kenya,f,young chimps,25,18/11/2018,,3,ID,2,l, B3,l,1,,no,yes,,,1
Bahati,kenya,f,young chimps,25,18/11/2018,,3,ID,3,r, B4,l,0,,yes,yes,,,1
Bahati,kenya,f,young chimps,25,18/11/2018,,3,ID,4,r, B3,r,1,,no,yes,,,1
Bahati,kenya,f,young chimps,25,18/11/2018,,3,ID,5,l, B4,l,1,,yes,yes,,,1
Bahati,kenya,f,young chimps,25,18/11/2018,,3,ID,6,r, B4,r,1,,yes,no,,,1
Bahati,kenya,f,young chimps,25,18/11/2018,,3,ID,7,r, B3,r,1,,no,yes,,,1
Bahati,kenya,f,young chimps,25,18/11/2018,,3,ID,8,l, B3,l,1,,yes,no,,,1
Bahati,kenya,f,young chimps,25,18/11/2018,,3,ID,9,r, B3,r,1,,yes,no,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,1,l,B2,r,0,,,,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,2,r,B1,l,0,,yes,yes,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,3,l,B1,r,0,,yes,no,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,4,r,B2,r,1,,yes,yes,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,5,l,B1,r,0,,yes,yes,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,6,l,B2,r,0,,no,yes,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,7,r,B2,l,0,,yes,no,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,8,r,B1,r,1,,no,yes,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,9,l,B1,r,0,,yes,no,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,10,r,B2,r,1,,yes,yes,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,11,l,B2,r,0,,yes,no,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,12,r,B1,r,1,,yes,yes,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,13,r,B1,r,1,,no,no,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,14,l,B1,r,0,,yes,no,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,15,r,B2,r,1,,yes,yes,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,16,l,B2,l,1,,yes,no,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,17,r,B1,r,1,,yes,yes,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,18,r,B2,r,1,,no,yes,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,19,l,B2,l,1,,yes,no,,,1
Cheetah,kenya,f,old chimps,31,22/10/2018,,3,CD,20,l,B1,l,1,,no,yes,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,1,l,,r,0,,,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,2,r,,r,1,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,3,l,,r,0,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,4,r,,r,1,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,5,l,,r,0,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,6,r,,r,1,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,7,l,,r,0,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,8,r,,r,1,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,9,l,,l,1,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,10,r,,r,1,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,11,l,,r,0,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,12,r,,r,1,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,13,r,,r,1,,no,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,14,l,,r,0,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,15,l,,r,0,,no,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,16,r,,r,1,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,17,r,,r,1,,no,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,18,l,,r,0,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,19,r,,r,1,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,20,l,,r,0,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,21,r,,r,1,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,22,l,,r,0,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,23,r,,r,1,,yes,,,,1
Cheetah,kenya,f,old chimps,31,27-Oct-18,,7,EDSD,24,l,,r,0,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,1,l,,r,0,,,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,2,r,,l,0,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,3,l,,l,1,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,4,r,,r,1,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,5,l,,l,1,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,6,r,,l,0,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,7,l,,l,1,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,8,r,,l,0,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,9,l,,r,0,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,10,r,,r,1,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,11,l,,r,0,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,12,r,,r,1,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,13,r,,l,0,,no,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,14,l,,l,1,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,15,l,,l,1,,no,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,16,r,,l,0,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,17,r,,r,1,,no,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,18,l,,l,1,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,19,r,,r,1,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,20,l,,l,1,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,21,r,,l,0,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,22,l,,r,0,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,23,r,,l,0,,yes,,,,1
Dufatanya,kenya,f,young chimps,27,23-Nov-18,,8,EDSD,24,l,,r,0,,yes,,,,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,1,l,S7,l,1,,,,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,2,r,S8,r,1,,yes,yes,S8,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,3,l,S8,r,0,,yes,no,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,4,r,S7,r,1,,yes,yes,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,5,l,S7,l,1,,yes,no,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,6,r,S8,l,0,,yes,yes,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,7,l,S8,r,0,,yes,no,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,8,r,S7,r,1,,yes,yes,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,9,r,S8,r,1,,no,yes,S8,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,10,l,S7,r,0,,yes,yes,S8,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,11,l,S8,r,0,,no,yes,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,12,r,S7,r,1,,yes,yes,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,13,l,S7,l,1,,yes,no,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,14,r,S8,l,0,,yes,yes,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,15,l,S8,r,0,,yes,no,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,16,r,S7,r,1,,yes,yes,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,17,l,S7,l,1,,yes,no,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,18,r,S7,r,1,,yes,no,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,19,l,S8,r,0,,yes,yes,S7,1,1
Edvard,kenya,m,old chimps,18,24/10/2018,,5,ED,20,r,S8,r,1,,yes,no,S8,1,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,21,l,S8,l,1,,yes,no,S8,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,22,r,S7,l,0,,yes,yes,S8,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,23,l,S7,r,0,,yes,no,S8,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,24,r,S8,r,1,,yes,yes,S8,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,25,r,S7,r,1,,no,yes,S7,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,26,l,S8,r,0,,yes,yes,S7,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,27,r,S8,r,1,,yes,no,S8,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,28,l,S7,r,0,,yes,yes,S8,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,29,r,S7,r,1,,yes,no,S7,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,30,l,S8,r,0,,yes,yes,S7,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,31,l,S7,r,0,,no,yes,S8,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,32,r,S8,r,1,,yes,yes,S8,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,33,r,S8,r,1,,no,no,S8,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,34,l,S8,r,0,,yes,no,S7,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,35,r,S7,l,0,,yes,yes,S8,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,36,l,S7,l,1,,yes,no,S7,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,37,r,S8,l,0,,yes,yes,S7,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,38,l,S8,r,0,,yes,no,S7,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,39,l,S7,l,1,,no,yes,S7,2,1
Edvard,kenya,m,old chimps,18,25/10/2018,,6,ED,40,r,S7,r,1,,yes,no,S7,2,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,1,l,B2,r,0,,,,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,2,r,B1,l,0,,yes,yes,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,3,l,B1,l,1,,yes,no,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,4,r,B2,r,1,,yes,yes,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,5,l,B1,l,1,,yes,yes,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,6,l,B2,l,1,,no,yes,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,7,r,B2,l,0,,yes,no,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,8,r,B1,r,1,,no,yes,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,9,l,B1,l,1,,yes,no,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,10,r,B2,r,1,,yes,yes,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,11,l,B2,l,1,,yes,no,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,12,r,B1,r,1,,yes,yes,,,1
Joy,kenya,f,young chimps,14,16/11/2018,,3,CD,13,r,B1,r,1,,no,no,,,1
